AgeGroup,SMS_received,Appointments,NoShows,NoShowRate
Child (0-12),No SMS,12229,2111,0.17262245482050861
Child (0-12),SMS Sent,5268,1557,0.2955580865603645
Teen (13-18),No SMS,5546,1230,0.22178146411828345
Teen (13-18),SMS Sent,2284,810,0.35464098073555167
Young Adult (19-30),No SMS,10935,2084,0.19058070416095108
Young Adult (19-30),SMS Sent,5830,2059,0.35317324185248716
Adult (31-45),No SMS,14636,2497,0.1706067231484012
Adult (31-45),SMS Sent,7318,2195,0.2999453402569008
Middle Age (46-60),No SMS,15426,2363,0.15318293789705692
Middle Age (46-60),SMS Sent,7753,1768,0.228040758416097
Senior (60+),No SMS,13624,1824,0.13388138578978273
Senior (60+),SMS Sent,6131,1179,0.1923014190181047
